"filename", "language", "JSON with Comments", "SCSS", "TypeScript", "JSON", "HTML", "Markdown", "CSV", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\details.md", "Markdown", 0, 0, 0, 0, 0, 108, 0, 0, 0, 6, 114
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 101
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-52-05\results.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\details.md", "Markdown", 0, 0, 0, 0, 0, 108, 0, 0, 0, 6, 114
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 101
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.VSCodeCounter\2024-05-08_13-53-12\results.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\.embold\vscode-logs.log", "Log", 0, 0, 0, 0, 0, 0, 0, 19951, 0, 77, 20028
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 28
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\angular.json", "JSON", 0, 0, 0, 127, 0, 0, 0, 0, 0, 1, 128
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\package-lock.json", "JSON", 0, 0, 0, 13542, 0, 0, 0, 0, 0, 1, 13543
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\package.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\server.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 6, 11, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app-routing.module.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.html", "HTML", 0, 0, 0, 0, 134, 0, 0, 0, 0, 1, 135
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.scss", "SCSS", 0, 57, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.spec.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.component.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.server.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\app.module.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 4, 127
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.html", "HTML", 0, 0, 0, 0, 186, 0, 0, 0, 0, 4, 190
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.scss", "SCSS", 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\admin\admin.component.ts", "TypeScript", 0, 0, 275, 0, 0, 0, 0, 0, 0, 20, 295
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.html", "HTML", 0, 0, 0, 0, 283, 0, 0, 0, 0, 6, 289
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.scss", "SCSS", 0, 146, 0, 0, 0, 0, 0, 0, 0, 25, 171
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-bid\auction-bid.component.ts", "TypeScript", 0, 0, 442, 0, 0, 0, 0, 0, 0, 22, 464
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.html", "HTML", 0, 0, 0, 0, 384, 0, 0, 0, 0, 15, 399
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction-form\auction-form.component.ts", "TypeScript", 0, 0, 269, 0, 0, 0, 0, 0, 0, 8, 277
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 68
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.scss", "SCSS", 0, 73, 0, 0, 0, 0, 0, 0, 0, 13, 86
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\auction\auction.component.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 7, 117
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.html", "HTML", 0, 0, 0, 0, 92, 0, 0, 0, 0, 2, 94
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.scss", "SCSS", 0, 123, 0, 0, 0, 0, 0, 0, 0, 22, 145
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\chat\chat.component.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 0, 0, 0, 12, 184
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\confirm-email\confirm-email.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\confirm-email\confirm-email.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\confirm-email\confirm-email.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\home\home.component.scss", "SCSS", 0, 92, 0, 0, 0, 0, 0, 0, 0, 14, 106
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\home\home.component.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 4, 89
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\information\information.component.html", "HTML", 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 55
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\information\information.component.scss", "SCSS", 0, 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\information\information.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\live-stream\live-stream.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\live-stream\live-stream.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\live-stream\live-stream.component.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 5, 85
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 0, 1, 1, 128
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.scss", "SCSS", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 4, 117
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.html", "HTML", 0, 0, 0, 0, 58, 0, 0, 0, 0, 2, 60
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.scss", "SCSS", 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\payment\payment.component.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 6, 128
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\profile-check\profile-check.component.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.html", "HTML", 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 107
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.scss", "SCSS", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\register\register.component.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 2, 5, 66
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.scss", "SCSS", 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\report-modal\report-modal.component.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.html", "HTML", 0, 0, 0, 0, 76, 0, 0, 0, 0, 4, 80
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\reset\reset.component.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 7, 79
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 79
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.scss", "SCSS", 0, 53, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\single-auction\single-auction.component.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.html", "HTML", 0, 0, 0, 0, 274, 0, 0, 0, 0, 21, 295
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\components\user-profile\user-profile.component.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 10, 121
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\guard\admin.guard.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\guard\check.guard.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\cachingInterceptor.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\jwt.interceptor.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 10, 3, 40
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\interceptors\loading.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\auction.model.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\chat.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\comment.model.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\decoded-token-result.model.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\grouped-report.model.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\message.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\payment.model.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\report.model.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\reset-password.model.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\models\user.model.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\admin.service.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\auction.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\auction.service.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 14, 88
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\bid.service.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 10, 57
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\chat.service.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\comment.service.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\livestream.service.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\loader.service.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\payment.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\report.service.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\signalr.service.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\services\user.service.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 14, 161
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\types\aukcionas.types.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\utils\app.initializer.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\utils\calculate-time-left.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\utils\confirm-password.validator.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\utils\time-formating.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\app\utils\utils.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\assets\forms.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\environments\environment.development.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\environments\environment.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\index.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 1, 25
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\main.server.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\src\styles.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\tsconfig.app.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas-Front\auctionFront\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 32, 819, 3261, 13759, 2064, 362, 206, 19951, 25, 667, 41146